中正區,Zhongzheng Dist.,Taipei City
大同區,Datong Dist.,Taipei City
中山區,Zhongshan Dist.,Taipei City
松山區,Songshan Dist.,Taipei City
大安區,Da’an Dist.,Taipei City
萬華區,Wanhua Dist.,Taipei City
信義區,Xinyi Dist.,Taipei City
士林區,Shilin Dist.,Taipei City
北投區,Beitou Dist.,Taipei City
內湖區,Neihu Dist.,Taipei City
南港區,Nangang Dist.,Taipei City
文山區,Wenshan Dist.,Taipei City
仁愛區,Ren’ai Dist.,Keelung City
信義區,Xinyi Dist.,Keelung City
中正區,Zhongzheng Dist.,Keelung City
中山區,Zhongshan Dist.,Keelung City
安樂區,Anle Dist.,Keelung City
暖暖區,Nuannuan Dist.,Keelung City
七堵區,Qidu Dist.,Keelung City
萬里區,Wanli Dist.,New Taipei City
金山區,Jinshan Dist.,New Taipei City
南竿鄉,Nangan Township,Lienchiang County
北竿鄉,Beigan Township,Lienchiang County
莒光鄉,Juguang Township,Lienchiang County
東引鄉,Dongyin Township,Lienchiang County
板橋區,Banqiao Dist.,New Taipei City
汐止區,Xizhi Dist.,New Taipei City
深坑區,Shenkeng Dist.,New Taipei City
石碇區,Shiding Dist.,New Taipei City
瑞芳區,Ruifang Dist.,New Taipei City
平溪區,Pingxi Dist.,New Taipei City
雙溪區,Shuangxi Dist.,New Taipei City
貢寮區,Gongliao Dist.,New Taipei City
新店區,Xindian Dist.,New Taipei City
坪林區,Pinglin Dist.,New Taipei City
烏來區,Wulai Dist.,New Taipei City
永和區,Yonghe Dist.,New Taipei City
中和區,Zhonghe Dist.,New Taipei City
土城區,Tucheng Dist.,New Taipei City
三峽區,Sanxia Dist.,New Taipei City
樹林區,Shulin Dist.,New Taipei City
鶯歌區,Yingge Dist.,New Taipei City
三重區,Sanchong Dist.,New Taipei City
新莊區,Xinzhuang Dist.,New Taipei City
泰山區,Taishan Dist.,New Taipei City
林口區,Linkou Dist.,New Taipei City
蘆洲區,Luzhou Dist.,New Taipei City
五股區,Wugu Dist.,New Taipei City
八里區,Bali Dist.,New Taipei City
淡水區,Danshui Dist.,New Taipei City
三芝區,Sanzhi Dist.,New Taipei City
石門區,Shimen Dist.,New Taipei City
宜蘭市,Yilan City,Yilan County
頭城鎮,Toucheng Township,Yilan County
礁溪鄉,Jiaoxi Township,Yilan County
壯圍鄉,Zhuangwei Township,Yilan County
員山鄉,Yuanshan Township,Yilan County
羅東鎮,Luodong Township,Yilan County
三星鄉,Sanxing Township,Yilan County
大同鄉,Datong Township,Yilan County
五結鄉,Wujie Township,Yilan County
冬山鄉,Dongshan Township,Yilan County
蘇澳鎮,Su’ao Township,Yilan County
南澳鄉,Nan’ao Township,Yilan County
東區,East Dist.,Hsinchu City
北區,North Dist.,Hsinchu City
香山區,Xiangshan Dist.,Hsinchu City
竹北市,Zhubei City,Hsinchu County
湖口鄉,Hukou Township,Hsinchu County
新豐鄉,Xinfeng Township,Hsinchu County
新埔鎮,Xinpu Township,Hsinchu County
關西鎮,Guanxi Township,Hsinchu County
芎林鄉,Qionglin Township,Hsinchu County
寶山鄉,Baoshan Township,Hsinchu County
竹東鎮,Zhudong Township,Hsinchu County
五峰鄉,Wufeng Township,Hsinchu County
橫山鄉,Hengshan Township,Hsinchu County
尖石鄉,Jianshi Township,Hsinchu County
北埔鄉,Beipu Township,Hsinchu County
峨眉鄉,Emei Township,Hsinchu County
中壢市,Zhongli City,Taoyuan County
平鎮市,Pingzhen City,Taoyuan County
龍潭鄉,Longtan Township,Taoyuan County
楊梅市,Yangmei City,Taoyuan County County
新屋鄉,Xinwu Township,Taoyuan County
觀音鄉,Guanyin Township,Taoyuan County
桃園市,Taoyuan City,Taoyuan County
龜山鄉,Guishan Township,Taoyuan County
八德市,Bade City,Taoyuan County
大溪鎮,Daxi Township,Taoyuan County
復興鄉,Fuxing Township,Taoyuan County
大園鄉,Dayuan Township,Taoyuan County
蘆竹市,Luzhu City,Taoyuan County
竹南鎮,Zhunan Township,Miaoli County
頭份鎮,Toufen Township,Miaoli County
三灣鄉,Sanwan Township,Miaoli County
南庄鄉,Nanzhuang Township,Miaoli County
獅潭鄉,Shitan Township,Miaoli County
後龍鎮,Houlong Township,Miaoli County
通霄鎮,Tongxiao Township,Miaoli County
苑裡鎮,Yuanli Township,Miaoli County
苗栗市,Miaoli City,Miaoli County
造橋鄉,Zaoqiao Township,Miaoli County
頭屋鄉,Touwu Township,Miaoli County
公館鄉,Gongguan Township,Miaoli County
大湖鄉,Dahu Township,Miaoli County
泰安鄉,Tai’an Township,Miaoli County
銅鑼鄉,Tongluo Township,Miaoli County
三義鄉,Sanyi Township,Miaoli County
西湖鄉,Xihu Township,Miaoli County
卓蘭鎮,Zhuolan Township,Miaoli County
中區,Central Dist.,Taichung City
東區,East Dist.,Taichung City
南區,South Dist.,Taichung City
西區,West Dist.,Taichung City
北區,North Dist.,Taichung City
北屯區,Beitun Dist.,Taichung City
西屯區,Xitun Dist.,Taichung City
南屯區,Nantun Dist.,Taichung City
太平區,Taiping Dist.,Taichung City
大里區,Dali Dist.,Taichung City
霧峰區,Wufeng Dist.,Taichung City
烏日區,Wuri Dist.,Taichung City
豐原區,Fengyuan Dist.,Taichung City
后里區,Houli Dist.,Taichung City
石岡區,Shigang Dist.,Taichung City
東勢區,Dongshi Dist.,Taichung City
和平區,Heping Dist.,Taichung City
新社區,Xinshe Dist.,Taichung City
潭子區,Tanzi Dist.,Taichung City
大雅區,Daya Dist.,Taichung City
神岡區,Shengang Dist.,Taichung City
大肚區,Dadu Dist.,Taichung City
沙鹿區,Shalu Dist.,Taichung City
龍井區,Longjing Dist.,Taichung City
梧棲區,Wuqi Dist.,Taichung City
清水區,Qingshui Dist.,Taichung City
大甲區,Dajia Dist.,Taichung City
外埔區,Waipu Dist.,Taichung City
大安區,Da’an Dist.,Taichung City
彰化市,Changhua City,Changhua County
芬園鄉,Fenyuan Township,Changhua County
花壇鄉,Huatan Township,Changhua County
秀水鄉,Xiushui Township,Changhua County
鹿港鎮,Lugang Township,Changhua County
福興鄉,Fuxing Township,Changhua County
線西鄉,Xianxi Township,Changhua County
和美鎮,Hemei Township,Changhua County
伸港鄉,Shengang Township,Changhua County
員林鎮,Yuanlin Township,Changhua County
社頭鄉,Shetou Township,Changhua County
永靖鄉,Yongjing Township,Changhua County
埔心鄉,Puxin Township,Changhua County
溪湖鎮,Xihu Township,Changhua County
大村鄉,Dacun Township,Changhua County
埔鹽鄉,Puyan Township,Changhua County
田中鎮,Tianzhong Township,Changhua County
北斗鎮,Beidou Township,Changhua County
田尾鄉,Tianwei Township,Changhua County
埤頭鄉,Pitou Township,Changhua County
溪州鄉,Xizhou Township,Changhua County
竹塘鄉,Zhutang Township,Changhua County
二林鎮,Erlin Township,Changhua County
大城鄉,Dacheng Township,Changhua County
芳苑鄉,Fangyuan Township,Changhua County
二水鄉,Ershui Township,Changhua County
南投市,Nantou City,Nantou County
中寮鄉,Zhongliao Township,Nantou County
草屯鎮,Caotun Township,Nantou County
國姓鄉,Guoxing Township,Nantou County
埔里鎮,Puli Township,Nantou County
仁愛鄉,Ren’ai Township,Nantou County
名間鄉,Mingjian Township,Nantou County
集集鎮,Jiji Township,Nantou County
水里鄉,Shuili Township,Nantou County
魚池鄉,Yuchi Township,Nantou County
信義鄉,Xinyi Township,Nantou County
竹山鎮,Zhushan Township,Nantou County
鹿谷鄉,Lugu Township,Nantou County
東區,East Dist.,Chiayi City
西區,West Dist.,Chiayi City
番路鄉,Fanlu Township,Chiayi County
梅山鄉,Meishan Township,Chiayi County
竹崎鄉,Zhuqi Township,Chiayi County
阿里山鄉,Alishan Township,Chiayi County
中埔鄉,Zhongpu Township,Chiayi County
大埔鄉,Dapu Township,Chiayi County
水上鄉,Shuishang Township,Chiayi County
鹿草鄉,Lucao Township,Chiayi County
太保市,Taibao City,Chiayi County
朴子市,Puzi City,Chiayi County
東石鄉,Dongshi Township,Chiayi County
六腳鄉,Liujiao Township,Chiayi County
新港鄉,Xingang Township,Chiayi County
民雄鄉,Minxiong Township,Chiayi County
大林鎮,Dalin Township,Chiayi County
溪口鄉,Xikou Township,Chiayi County
義竹鄉,Yizhu Township,Chiayi County
布袋鎮,Budai Township,Chiayi County
斗南鎮,Dounan Township,Yunlin County
大埤鄉,Dapi Township,Yunlin County
虎尾鎮,Huwei Township,Yunlin County
土庫鎮,Tuku Township,Yunlin County
褒忠鄉,Baozhong Township,Yunlin County
東勢鄉,Dongshi Township,Yunlin County
臺西鄉,Taixi Township,Yunlin County
崙背鄉,Lunbei Township,Yunlin County
麥寮鄉,Mailiao Township,Yunlin County
斗六市,Douliu City,Yunlin County
林內鄉,Linnei Township,Yunlin County
古坑鄉,Gukeng Township,Yunlin County
莿桐鄉,Citong Township,Yunlin County
西螺鎮,Xiluo Township,Yunlin County
二崙鄉,Erlun Township,Yunlin County
北港鎮,Beigang Township,Yunlin County
水林鄉,Shuilin Township,Yunlin County
口湖鄉,Kouhu Township,Yunlin County
四湖鄉,Sihu Township,Yunlin County
元長鄉,Yuanchang Township,Yunlin County
中西區,West Central Dist.,Tainan City
東區,East Dist.,Tainan City
南區,South Dist.,Tainan City
北區,North Dist.,Tainan City
安平區,Anping Dist.,Tainan City
安南區,Annan Dist.,Tainan City
永康區,Yongkang Dist.,Tainan City
歸仁區,Guiren Dist.,Tainan City
新化區,Xinhua Dist.,Tainan City
左鎮區,Zuozhen Dist.,Tainan City
玉井區,Yujing Dist.,Tainan City
楠西區,Nanxi Dist.,Tainan City
南化區,Nanhua Dist.,Tainan City
仁德區,Rende Dist.,Tainan City
關廟區,Guanmiao Dist.,Tainan City
龍崎區,Longqi Dist.,Tainan City
官田區,Guantian Dist.,Tainan City
麻豆區,Madou Dist.,Tainan City
佳里區,Jiali Dist.,Tainan City
西港區,Xigang Dist.,Tainan City
七股區,Qigu Dist.,Tainan City
將軍區,Jiangjun Dist.,Tainan City
學甲區,Xuejia Dist.,Tainan City
